zipcode,cases,date
56273,20,8/6/20
56274,7,8/6/20
56276,0,8/6/20
56277,16,8/6/20
56278,<=5,8/6/20
56279,14,8/6/20
56280,<=5,8/6/20
56281,<=5,8/6/20
56282,7,8/6/20
56283,9,8/6/20
56284,13,8/6/20
56285,<=5,8/6/20
56287,0,8/6/20
56288,13,8/6/20
56289,<=5,8/6/20
56291,0,8/6/20
56292,0,8/6/20
56293,<=5,8/6/20
56294,0,8/6/20
56295,0,8/6/20
56296,6,8/6/20
56297,8,8/6/20
56301,988,8/6/20
56303,529,8/6/20
56304,469,8/6/20
56307,41,8/6/20
56308,101,8/6/20
56309,<=5,8/6/20
56310,26,8/6/20
56311,<=5,8/6/20
56312,<=5,8/6/20
56313,0,8/6/20
56314,<=5,8/6/20
56315,6,8/6/20
56316,9,8/6/20
56318,<=5,8/6/20
56319,0,8/6/20
56320,101,8/6/20
56321,<=5,8/6/20
56323,<=5,8/6/20
56324,<=5,8/6/20
56325,0,8/6/20
56326,<=5,8/6/20
56327,<=5,8/6/20
56328,0,8/6/20
56329,43,8/6/20
56330,<=5,8/6/20
56331,6,8/6/20
56332,<=5,8/6/20
56334,31,8/6/20
56335,0,8/6/20
56336,18,8/6/20
56338,<=5,8/6/20
56339,7,8/6/20
56340,10,8/6/20
56342,<=5,8/6/20
56343,<=5,8/6/20
56345,26,8/6/20
56347,313,8/6/20
56349,0,8/6/20
56350,0,8/6/20
56352,165,8/6/20
56353,26,8/6/20
56354,<=5,8/6/20
56355,0,8/6/20
56356,<=5,8/6/20
56357,<=5,8/6/20
56358,<=5,8/6/20
56359,8,8/6/20
56360,16,8/6/20
56361,<=5,8/6/20
56362,17,8/6/20
56363,0,8/6/20
56364,14,8/6/20
56367,25,8/6/20
56368,37,8/6/20
56369,37,8/6/20
56371,<=5,8/6/20
56373,18,8/6/20
56374,107,8/6/20
56375,10,8/6/20
56376,<=5,8/6/20
56377,184,8/6/20
56378,70,8/6/20
56379,136,8/6/20
56381,<=5,8/6/20
56382,<=5,8/6/20
56384,7,8/6/20
56385,7,8/6/20
56386,0,8/6/20
56387,387,8/6/20
56389,0,8/6/20
56401,115,8/6/20
56425,25,8/6/20
56431,16,8/6/20
56433,<=5,8/6/20
56434,<=5,8/6/20
56435,<=5,8/6/20
56436,<=5,8/6/20
56437,<=5,8/6/20
56438,40,8/6/20
56440,16,8/6/20
56441,<=5,8/6/20
56442,12,8/6/20
56443,<=5,8/6/20
56444,<=5,8/6/20
56446,10,8/6/20
56447,<=5,8/6/20
56448,<=5,8/6/20
56449,<=5,8/6/20
56450,<=5,8/6/20
56452,<=5,8/6/20
56453,0,8/6/20
56455,<=5,8/6/20
56456,0,8/6/20
56458,<=5,8/6/20
56461,<=5,8/6/20
56464,6,8/6/20
56465,12,8/6/20
56466,<=5,8/6/20
56467,<=5,8/6/20
56468,24,8/6/20
56469,<=5,8/6/20
56470,13,8/6/20
56472,22,8/6/20
56473,6,8/6/20
56474,10,8/6/20
56475,6,8/6/20
56477,<=5,8/6/20
56479,10,8/6/20
56481,9,8/6/20
56482,10,8/6/20
56484,13,8/6/20
56501,87,8/6/20
56510,13,8/6/20
56511,8,8/6/20
56514,18,8/6/20
56515,6,8/6/20
56516,<=5,8/6/20
56517,<=5,8/6/20
56518,0,8/6/20
56519,<=5,8/6/20
56520,24,8/6/20
56521,6,8/6/20
56522,<=5,8/6/20
56523,0,8/6/20
56524,<=5,8/6/20
56525,<=5,8/6/20
56527,0,8/6/20
56528,0,8/6/20
56529,56,8/6/20
56531,13,8/6/20
56533,0,8/6/20
56534,0,8/6/20
56535,9,8/6/20
56536,0,8/6/20
56537,48,8/6/20
56540,10,8/6/20
56541,<=5,8/6/20
56542,<=5,8/6/20
56543,<=5,8/6/20
56544,12,8/6/20
56545,0,8/6/20
56546,<=5,8/6/20
56547,13,8/6/20
56548,11,8/6/20
56549,31,8/6/20
56550,0,8/6/20
56551,<=5,8/6/20
56552,0,8/6/20
56553,<=5,8/6/20
56554,16,8/6/20
56556,<=5,8/6/20
56557,14,8/6/20
56560,634,8/6/20
56565,<=5,8/6/20
56566,<=5,8/6/20
56567,<=5,8/6/20
56568,0,8/6/20
56569,18,8/6/20
56570,0,8/6/20
56571,<=5,8/6/20
56572,84,8/6/20
56573,14,8/6/20
56574,<=5,8/6/20
56575,0,8/6/20
56576,<=5,8/6/20
56577,0,8/6/20
56578,<=5,8/6/20
56579,<=5,8/6/20
56580,6,8/6/20
56581,<=5,8/6/20
56583,0,8/6/20
56584,6,8/6/20
56585,<=5,8/6/20
56586,<=5,8/6/20
56587,<=5,8/6/20
56588,<=5,8/6/20
56589,<=5,8/6/20
56590,<=5,8/6/20
56591,<=5,8/6/20
56592,<=5,8/6/20
56593,0,8/6/20
56594,0,8/6/20
56601,182,8/6/20
56621,6,8/6/20
56623,<=5,8/6/20
56626,<=5,8/6/20
56627,0,8/6/20
56628,<=5,8/6/20
56629,0,8/6/20
56630,<=5,8/6/20
56633,21,8/6/20
56634,<=5,8/6/20
56636,9,8/6/20
56637,0,8/6/20
56639,0,8/6/20
56641,0,8/6/20
56644,<=5,8/6/20
56646,0,8/6/20
56647,<=5,8/6/20
56649,67,8/6/20
56650,0,8/6/20
56651,<=5,8/6/20
56652,0,8/6/20
56653,6,8/6/20
56654,0,8/6/20
56655,8,8/6/20
56657,0,8/6/20
56658,0,8/6/20
56659,0,8/6/20
56660,0,8/6/20
56661,0,8/6/20
56662,<=5,8/6/20
56663,<=5,8/6/20
56666,8,8/6/20
56667,<=5,8/6/20
56668,<=5,8/6/20
56669,0,8/6/20
56670,7,8/6/20
56671,<=5,8/6/20
56672,<=5,8/6/20
56673,<=5,8/6/20
56676,<=5,8/6/20
56678,8,8/6/20
56680,0,8/6/20
56681,0,8/6/20
56683,0,8/6/20
56684,0,8/6/20
56685,0,8/6/20
56686,0,8/6/20
56687,0,8/6/20
56688,0,8/6/20
56701,72,8/6/20
56710,<=5,8/6/20
56711,0,8/6/20
56713,0,8/6/20
56714,<=5,8/6/20
56715,0,8/6/20
56716,39,8/6/20
56720,0,8/6/20
56721,71,8/6/20
56722,<=5,8/6/20
56723,<=5,8/6/20
56724,0,8/6/20
56725,<=5,8/6/20
56726,<=5,8/6/20
56727,<=5,8/6/20
56728,<=5,8/6/20
56729,0,8/6/20
56731,0,8/6/20
56732,0,8/6/20
56733,<=5,8/6/20
56734,0,8/6/20
56735,<=5,8/6/20
56736,<=5,8/6/20
56737,0,8/6/20
56738,<=5,8/6/20
56741,0,8/6/20
56742,<=5,8/6/20
56744,<=5,8/6/20
56748,<=5,8/6/20
56750,22,8/6/20
56751,24,8/6/20
56754,<=5,8/6/20
56755,0,8/6/20
56756,0,8/6/20
56757,<=5,8/6/20
56758,0,8/6/20
56759,<=5,8/6/20
